step,key,shape,compress_dims,snr,mean_sqr,var
1,transformer.wte.weight,"(50304, 768)","(0,)",0.0001356233115075156,9.188616483045792e-22,6.276800343646309e-18
1,transformer.wte.weight,"(50304, 768)","(1,)",0.5696316957473755,2.2152198725093663e-18,4.0634081267003785e-18
1,transformer.wte.weight,"(50304, 768)","(0, 1)",5.34115060872864e-05,3.353153368313565e-22,6.277960878045721e-18
1,transformer.wpe.weight,"(1024, 768)","(0,)",0.032624196261167526,7.742059143294717e-21,6.16994690987551e-19
1,transformer.wpe.weight,"(1024, 768)","(1,)",0.5399606823921204,2.1201383562285397e-19,4.127226972115223e-19
1,transformer.wpe.weight,"(1024, 768)","(0, 1)",0.004982225596904755,3.0971467747446655e-21,6.216392067294597e-19
1,transformer.h.0.ln_1.weight,"(768,)","(0,)",0.13342095911502838,1.815320151771861e-21,1.3605959469348036e-20
1,transformer.h.0.attn.k_proj.weight,"(768, 768)","(0,)",0.35927772521972656,1.5371665021194905e-26,4.6727790534777757e-26
1,transformer.h.0.attn.k_proj.weight,"(768, 768)","(1,)",0.5083987712860107,2.0975490995083958e-26,4.112396302014475e-26
1,transformer.h.0.attn.k_proj.weight,"(768, 768)","(0, 1)",0.2764165699481964,1.3448052355716756e-26,4.8651397037280084e-26
1,transformer.h.0.attn.q_proj.weight,"(768, 768)","(0,)",0.4289492666721344,1.8708485020521565e-26,4.4827258213753144e-26
1,transformer.h.0.attn.q_proj.weight,"(768, 768)","(1,)",0.5109934210777283,2.1604834056359175e-26,4.1930915340891356e-26
1,transformer.h.0.attn.q_proj.weight,"(768, 768)","(0, 1)",0.2717670798301697,1.3577111232406078e-26,4.995863200186863e-26
1,transformer.h.0.attn.v_proj.weight,"(768, 768)","(0,)",0.49280497431755066,4.210198422056605e-20,8.809385635749661e-20
1,transformer.h.0.attn.v_proj.weight,"(768, 768)","(1,)",0.5125925540924072,4.4122883392261133e-20,8.607295718580153e-20
1,transformer.h.0.attn.v_proj.weight,"(768, 768)","(0, 1)",0.1397685408592224,1.596576681646831e-20,1.1423004952778734e-19
1,transformer.h.0.attn.output_proj.weight,"(768, 768)","(0,)",0.5105392336845398,1.7157664815705618e-17,3.4195024483121524e-17
1,transformer.h.0.attn.output_proj.weight,"(768, 768)","(1,)",0.5717141032218933,1.943289291934295e-17,3.191979472512297e-17
1,transformer.h.0.attn.output_proj.weight,"(768, 768)","(0, 1)",0.16892825067043304,7.421259315033851e-18,4.393142998379329e-17
1,transformer.h.0.ln_2.weight,"(768,)","(0,)",0.1918429434299469,1.510691403179406e-21,7.874626145566277e-21
1,transformer.h.0.mlp.mlp_up.weight,"(3072, 768)","(0,)",0.39306673407554626,1.965812497190743e-21,4.657015135666825e-21
1,transformer.h.0.mlp.mlp_up.weight,"(3072, 768)","(1,)",0.534674882888794,2.3268560338857908e-21,4.295970993126602e-21
1,transformer.h.0.mlp.mlp_up.weight,"(3072, 768)","(0, 1)",0.16712839901447296,9.483639859307884e-22,5.674463444978388e-21
1,transformer.h.0.mlp.mlp_proj.weight,"(768, 3072)","(0,)",0.5263564586639404,1.7885977492723858e-17,3.414517857940908e-17
1,transformer.h.0.mlp.mlp_proj.weight,"(768, 3072)","(1,)",0.9202408790588379,2.83613663003158e-17,2.3669788117455913e-17
1,transformer.h.0.mlp.mlp_proj.weight,"(768, 3072)","(0, 1)",0.25020352005958557,1.0413010290418704e-17,4.1618159843784646e-17
1,transformer.h.1.ln_1.weight,"(768,)","(0,)",0.19540323317050934,3.1629035944747965e-21,1.618654649183754e-20
1,transformer.h.1.attn.k_proj.weight,"(768, 768)","(0,)",0.2086912989616394,3.8407811693623786e-27,2.1057842218762e-26
1,transformer.h.1.attn.k_proj.weight,"(768, 768)","(1,)",0.5136366486549377,8.585037646052187e-27,1.6313584971700215e-26
1,transformer.h.1.attn.k_proj.weight,"(768, 768)","(0, 1)",0.14861467480659485,3.221533640262645e-27,2.1677088784896762e-26
1,transformer.h.1.attn.q_proj.weight,"(768, 768)","(0,)",0.4303092062473297,8.474431489346028e-27,1.9861747278660197e-26
1,transformer.h.1.attn.q_proj.weight,"(768, 768)","(1,)",0.5314887166023254,9.942669575053481e-27,1.8393507652208787e-26
1,transformer.h.1.attn.q_proj.weight,"(768, 768)","(0, 1)",0.13904568552970886,3.459056076594995e-27,2.4877119995109307e-26
1,transformer.h.1.attn.v_proj.weight,"(768, 768)","(0,)",0.48344942927360535,1.153886322979415e-19,2.2962955149596567e-19
1,transformer.h.1.attn.v_proj.weight,"(768, 768)","(1,)",0.5364376306533813,1.2109489897954735e-19,2.239232977390569e-19
1,transformer.h.1.attn.v_proj.weight,"(768, 768)","(0, 1)",0.13971911370754242,4.2296064702960575e-20,3.02722099703901e-19
1,transformer.h.1.attn.output_proj.weight,"(768, 768)","(0,)",0.47248363494873047,7.230832411856794e-17,1.553070245946528e-16
1,transformer.h.1.attn.output_proj.weight,"(768, 768)","(1,)",0.5234705805778503,7.722071154850395e-17,1.5039463054727188e-16
1,transformer.h.1.attn.output_proj.weight,"(768, 768)","(0, 1)",0.12708622217178345,2.566509499308285e-17,2.0195025702886033e-16
1,transformer.h.1.ln_2.weight,"(768,)","(0,)",0.16550706326961517,3.2241923060377556e-21,1.9480693114927673e-20
1,transformer.h.1.mlp.mlp_up.weight,"(3072, 768)","(0,)",0.34951648116111755,6.733259475807665e-21,1.846474730165063e-20
1,transformer.h.1.mlp.mlp_up.weight,"(3072, 768)","(1,)",0.5159249305725098,8.536231695115185e-21,1.666177629403346e-20
1,transformer.h.1.mlp.mlp_up.weight,"(3072, 768)","(0, 1)",0.10957948863506317,2.488496132476924e-21,2.270950700991032e-20
1,transformer.h.1.mlp.mlp_proj.weight,"(768, 3072)","(0,)",0.45791444182395935,1.518579527555476e-17,3.421737490327271e-17
1,transformer.h.1.mlp.mlp_proj.weight,"(768, 3072)","(1,)",0.3741948902606964,1.4394765764492748e-17,3.500840441433472e-17
1,transformer.h.1.mlp.mlp_proj.weight,"(768, 3072)","(0, 1)",0.10271988809108734,4.601973429414773e-18,4.48011905455581e-17
1,transformer.h.2.ln_1.weight,"(768,)","(0,)",0.17091183364391327,2.879738829723868e-21,1.68492651809217e-20
1,transformer.h.2.attn.k_proj.weight,"(768, 768)","(0,)",0.17580467462539673,3.2092658517028874e-27,2.1496071399795783e-26
1,transformer.h.2.attn.k_proj.weight,"(768, 768)","(1,)",0.5215852856636047,8.294876270258828e-27,1.6410462329390804e-26
1,transformer.h.2.attn.k_proj.weight,"(768, 768)","(0, 1)",0.12183631956577301,2.6831071835001388e-27,2.2022227756882599e-26
1,transformer.h.2.attn.q_proj.weight,"(768, 768)","(0,)",0.45161333680152893,7.275962262808783e-27,1.6097527987563033e-26
1,transformer.h.2.attn.q_proj.weight,"(768, 768)","(1,)",0.4799607992172241,7.589574531976978e-27,1.5783917259138793e-26
1,transformer.h.2.attn.q_proj.weight,"(768, 768)","(0, 1)",0.12102372944355011,2.5233605390769506e-27,2.085012990388786e-26
1,transformer.h.2.attn.v_proj.weight,"(768, 768)","(0,)",0.48953524231910706,9.772092683086113e-20,2.0068725149516536e-19
1,transformer.h.2.attn.v_proj.weight,"(768, 768)","(1,)",0.46345722675323486,9.485483648124439e-20,2.0355336769417625e-19
1,transformer.h.2.attn.v_proj.weight,"(768, 768)","(0, 1)",0.1192777082324028,3.180037380705868e-20,2.6660785944893037e-19
1,transformer.h.2.attn.output_proj.weight,"(768, 768)","(0,)",0.4226606786251068,4.78687567599865e-17,1.1809122915871622e-16
